Species,Ecosystem,Speciation_mode,Island,lnsvl,lnfml,lnhdl,lntol,lntal,lnLAM
purpurgularis,mainland,,,1.78,0.66,0.47,0.27,2.56,2.77
quadriocellifer,island,in situ,Cuba,1.73,0.38,0.33,0.07,2.02,2.83
quercorum,mainland,,,1.51,0.12,0.12,-0.32,2.11,2.56
reconditus,island,in situ,Jamaica,2.31,1.13,1.09,0.80,3.03,3.14
rejectus,island,in situ,Cuba,1.31,0.02,-0.04,-0.52,2.30,2.71
richardi,island,in situ,,2.64,1.39,1.23,1.08,3.23,3.22
ricordii,island,in situ,Hispaniola,2.78,1.43,1.52,1.07,3.34,3.50
roquet,island,Dispersal,,2.15,0.82,0.77,0.44,2.68,3.26
rubribarbus,island,in situ,Cuba,1.84,0.64,0.52,0.23,2.25,2.83
sabanus,island,Dispersal,,1.93,0.67,0.66,0.22,2.60,3.22
sagrei,island,,,1.95,0.66,0.58,0.39,2.68,2.94
schwartzi,island,,,1.59,0.38,0.30,0.08,2.18,3.00
scriptus,island,Dispersal,,2.03,0.78,0.69,0.47,2.35,3.09
semilineatus,island,in situ,Hispaniola,1.55,0.28,0.27,-0.11,2.57,2.94
sericeus,mainland,,,1.55,0.20,0.10,-0.35,2.24,2.71
sheplani,island,in situ,Hispaniola,1.41,-0.42,0.08,-0.92,1.53,2.83
shrevei,island,in situ,Hispaniola,1.79,0.55,0.52,0.18,2.21,2.83
smallwoodi,island,in situ,Cuba,2.95,1.61,1.70,1.12,3.66,3.53
smaragdinus,island,in situ,,1.74,0.28,0.52,-0.23,2.28,3.18
sminthus,mainland,,,1.65,0.36,0.23,0.09,2.51,2.89
strahmi,island,in situ,Hispaniola,2.08,0.98,0.79,0.37,2.77,2.94
stratulus,island,in situ,Puerto Rico,1.65,0.30,0.40,-0.15,2.06,3.00
trachyderma,mainland,,,1.81,0.69,0.27,0.20,2.24,2.83
transversalis,mainland,,,2.13,0.76,0.72,0.42,2.83,3.18
trinitatus,island,in situ,,2.00,0.63,0.60,0.17,2.41,3.22
tropidogaster,mainland,,,1.71,0.51,0.32,0.10,2.38,2.71
tropidonotus,mainland,,,1.71,0.50,0.30,0.10,2.36,2.77
uniformis,mainland,,,1.39,0.26,0.10,-0.32,1.83,2.64
utilensis,island,Dispersal,,1.83,0.48,0.44,-0.07,2.35,2.94
valencienni,island,in situ,Jamaica,2.15,0.62,0.91,0.11,2.42,3.26
vanidicus,island,in situ,Cuba,1.36,-0.07,0.12,-0.47,2.01,2.71
vermiculatus,island,in situ,Cuba,2.51,1.29,1.25,0.80,3.26,3.37
wattsi,island,,,1.76,0.47,0.50,0.20,2.42,2.94
websteri,island,in situ,Hispaniola,1.71,0.36,0.27,-0.06,2.05,2.89
whitemani,island,in situ,Hispaniola,1.90,0.72,0.68,0.24,2.48,2.94
woodi,mainland,,,2.22,1.04,0.87,0.61,3.05,2.83
zeus,mainland,,,1.46,0.38,0.03,-0.15,2.18,2.83
